nothing_prob,throw_prob,swing_prob
0.99948657,0.0001286373,0.0003847204
0.9999716,1.6238826e-05,1.2179648e-05
1.0,5.3894524e-09,5.166384e-09
0.06928327,0.9305018,0.00021491316
0.9999423,4.8420585e-05,9.273994e-06
0.9627968,0.01584475,0.021358475
0.9982862,0.0010863678,0.0006274165
0.9999807,1.56782e-05,3.5511027e-06
0.9997962,0.0001911141,1.2617464e-05
0.9998869,0.000104672465,8.422464e-06
0.99987316,5.1912317e-05,7.490238e-05
0.9999752,2.0309239e-05,4.5632873e-06
0.99572515,0.001039227,0.0032356498
0.99883443,0.00014174868,0.0010239178
0.9999335,5.531591e-05,1.118767e-05
0.99999726,1.8393656e-06,9.285544e-07
0.9965905,0.0018167044,0.0015927701
0.9615062,0.037029967,0.0014637767
1.0,5.1211188e-08,1.0418046e-08
1.0,9.73262e-13,1.908401e-14
1.0,6.100785e-09,5.637808e-09
0.99914587,0.0004959119,0.0003581404
0.999283,3.8621878e-05,0.0006783741
0.99934417,0.00063718064,1.8598914e-05
1.0,2.9818994e-10,1.5943226e-09
0.9971206,0.0027313402,0.0001480503
0.9998123,4.9649258e-05,0.00013807345
0.99999774,2.1072738e-06,8.49933e-08
0.9944823,0.0008524264,0.004665371
0.9865652,0.0005709814,0.012863779
1.0,3.0357645e-09,5.8276206e-09
1.0,2.9916426e-13,2.0483866e-15
0.9997737,0.00013263656,9.370693e-05
0.9999999,9.600852e-08,3.910094e-08
1.0,1.8497597e-14,5.2423817e-16
1.0,1.6626759e-08,2.8966918e-09
1.0,4.7207394e-12,3.4140629e-12
1.0,7.497788e-12,1.7312218e-13
0.99999,8.208229e-06,1.773834e-06
0.99999833,1.2057025e-06,5.3042277e-07
1.0,4.2423957e-14,6.9257712e-15
1.0,1.7212304e-11,3.4863017e-13
1.0,4.9606323e-09,7.087406e-10
1.0,1.0086524e-12,3.9708542e-14
0.9999994,6.169519e-07,1.3505622e-08
0.99982303,8.9727204e-05,8.720644e-05
1.0,1.945693e-09,3.3198747e-10
1.0,2.1830194e-14,3.746678e-15
1.0,1.22558985e-08,2.0937239e-09
1.0,3.8294554e-10,1.2616863e-10
1.0,2.4373705e-13,3.337168e-14
1.0,5.3736334e-13,2.0138234e-15
0.9999932,5.529841e-06,1.2963651e-06
0.9999194,7.3859264e-05,6.6282223e-06
0.9998746,8.363647e-05,4.172818e-05
1.0,6.3906324e-12,1.2159043e-11
1.0,8.1004994e-13,7.833629e-15
0.9999995,4.488502e-07,2.534416e-08
1.0,1.5702104e-12,1.1742336e-12
1.0,2.5023797e-11,7.2923065e-12
1.0,4.136577e-11,2.1876604e-12
0.99999034,3.5864787e-06,6.02053e-06
0.9999902,8.3943605e-06,1.433766e-06
0.9997267,0.00024224866,3.1031726e-05
0.9999999,9.36963e-09,7.614743e-08
0.9998387,2.972795e-05,0.00013162373
0.9999598,2.413928e-05,1.5972948e-05
0.9988512,0.0009402458,0.00020857328
0.99999964,2.2834345e-07,1.753238e-07
0.99995303,5.527763e-06,4.1447234e-05
0.9999969,6.933973e-07,2.38698e-06
0.99998045,4.4349717e-06,1.5081616e-05
0.99997365,2.0109981e-05,6.2502336e-06
0.9999995,1.3901905e-07,3.4868893e-07
0.9999784,1.2201867e-05,9.43228e-06
0.99999976,7.928461e-08,1.579294e-07
0.9999846,5.4228735e-06,9.970796e-06
0.9999349,8.778709e-06,5.6218876e-05
0.99998844,8.315076e-06,3.2229566e-06
0.9999999,1.5269148e-09,6.9871604e-08
1.0,3.035281e-11,3.7619414e-09
0.9975673,0.0012056965,0.0012269889
0.9992311,0.000709146,5.9779584e-05
0.996897,0.0023038143,0.0007992447
1.0,1.6147474e-09,7.964076e-09
0.9999819,5.1392813e-06,1.3015226e-05
1.0,4.0325862e-10,3.8136924e-12
0.9999999,1.6112958e-07,1.5408613e-09
0.8084013,0.1899628,0.0016358967
0.99984217,0.00014077648,1.7073498e-05
0.99999166,7.963148e-06,3.137076e-07
0.9999871,3.5324626e-07,1.2555385e-05
0.9999993,5.746648e-07,1.4543845e-07
0.99999607,1.1572674e-06,2.7841795e-06
1.0,2.1923862e-11,1.1100627e-14
0.9999999,1.7166423e-07,2.9076253e-08
0.9999764,8.782406e-06,1.4735325e-05
1.0,1.9467992e-09,8.024067e-11
0.12918858,0.6340211,0.23679025
0.99999917,5.095167e-07,4.1263573e-07
1.0,1.6776006e-11,1.4041089e-12
1.0,8.7358974e-11,7.430109e-12
1.0,3.3527754e-09,1.6065435e-11
0.79177535,0.18860829,0.019616371
0.9992225,0.00046979808,0.00030768474
1.0,9.549018e-13,5.6304673e-13
1.0,1.3960156e-11,2.3176337e-13
0.9797474,0.004255404,0.015997186
0.99883026,0.0011688989,8.357285e-07
0.9999987,4.286244e-07,8.2409485e-07
0.9972651,0.0012945144,0.0014403602
0.99999344,4.313962e-06,2.2783681e-06
1.0,1.4747719e-09,8.360344e-10
0.9809287,0.0010731601,0.017998122
0.9962435,0.00033238373,0.0034241783
0.99853754,0.0011359412,0.00032654376
0.9315125,0.034887716,0.03359975
0.9999939,5.1146126e-06,9.441098e-07
0.9995234,6.6161425e-05,0.00041049017
0.9999299,2.7411927e-05,4.2720098e-05
0.99999785,1.5220147e-06,5.6386614e-07
0.99997914,1.0882758e-06,1.9777062e-05
0.9999993,8.293372e-08,6.479754e-07
0.99999964,3.401081e-09,3.937546e-07
0.99999905,4.181747e-09,9.997176e-07
0.99999774,2.0853716e-07,1.9679676e-06
0.99999976,8.8746543e-10,2.7071084e-07
0.9997435,5.7270114e-05,0.0001991041
0.9986632,0.0005406545,0.0007962264
0.6609503,0.14018703,0.1988627
